attendance_id,employee_id,employee_name,date,status
1,EMP001,Ali Ahmed,2023-01-02,Present
2,EMP001,Ali Ahmed,2023-01-03,Present
3,EMP001,Ali Ahmed,2023-01-04,Present
4,EMP001,Ali Ahmed,2023-01-05,Present
5,EMP001,Ali Ahmed,2023-01-06,Present
6,EMP001,Ali Ahmed,2023-01-09,Present
7,EMP001,Ali Ahmed,2023-01-10,Late
8,EMP001,Ali Ahmed,2023-01-11,Present
9,EMP001,Ali Ahmed,2023-01-12,Present
10,EMP001,Ali Ahmed,2023-01-13,Present
11,EMP001,Ali Ahmed,2023-01-16,Present
12,EMP001,Ali Ahmed,2023-01-17,Present
13,EMP001,Ali Ahmed,2023-01-18,Present
14,EMP001,Ali Ahmed,2023-01-19,Present
15,EMP001,Ali Ahmed,2023-01-20,Present
16,EMP001,Ali Ahmed,2023-01-23,Present
17,EMP001,Ali Ahmed,2023-01-24,Present
18,EMP001,Ali Ahmed,2023-01-25,Present
19,EMP001,Ali Ahmed,2023-01-26,Present
20,EMP001,Ali Ahmed,2023-01-27,Present
21,EMP001,Ali Ahmed,2023-01-30,Present
22,EMP001,Ali Ahmed,2023-01-31,Present
23,EMP001,Ali Ahmed,2023-02-01,Present
24,EMP001,Ali Ahmed,2023-02-02,Present
25,EMP001,Ali Ahmed,2023-02-03,Absent
26,EMP001,Ali Ahmed,2023-02-06,Present
27,EMP001,Ali Ahmed,2023-02-07,Present
28,EMP001,Ali Ahmed,2023-02-08,Present
29,EMP001,Ali Ahmed,2023-02-09,Present
30,EMP001,Ali Ahmed,2023-02-10,Present
31,EMP001,Ali Ahmed,2023-02-13,Present
32,EMP001,Ali Ahmed,2023-02-14,Present
33,EMP001,Ali Ahmed,2023-02-15,Present
34,EMP001,Ali Ahmed,2023-02-16,Leave
35,EMP001,Ali Ahmed,2023-02-17,Present
36,EMP001,Ali Ahmed,2023-02-20,Present
37,EMP001,Ali Ahmed,2023-02-21,Present
38,EMP001,Ali Ahmed,2023-02-22,Present
39,EMP001,Ali Ahmed,2023-02-23,Late
40,EMP001,Ali Ahmed,2023-02-24,Present
41,EMP001,Ali Ahmed,2023-02-27,Present
42,EMP001,Ali Ahmed,2023-02-28,Present
43,EMP001,Ali Ahmed,2023-03-01,Present
44,EMP001,Ali Ahmed,2023-03-02,Present
45,EMP001,Ali Ahmed,2023-03-03,Present
46,EMP001,Ali Ahmed,2023-03-06,Present
47,EMP001,Ali Ahmed,2023-03-07,Present
48,EMP001,Ali Ahmed,2023-03-08,Present
49,EMP001,Ali Ahmed,2023-03-09,Present
50,EMP001,Ali Ahmed,2023-03-10,Present
51,EMP001,Ali Ahmed,2023-03-13,Present
52,EMP001,Ali Ahmed,2023-03-14,Present
53,EMP001,Ali Ahmed,2023-03-15,Present
54,EMP001,Ali Ahmed,2023-03-16,Absent
55,EMP001,Ali Ahmed,2023-03-17,Present
56,EMP001,Ali Ahmed,2023-03-20,Present
57,EMP001,Ali Ahmed,2023-03-21,Present
58,EMP001,Ali Ahmed,2023-03-22,Present
59,EMP001,Ali Ahmed,2023-03-23,Present
60,EMP001,Ali Ahmed,2023-03-24,Present
61,EMP001,Ali Ahmed,2023-03-27,Leave
62,EMP001,Ali Ahmed,2023-03-28,Present
63,EMP001,Ali Ahmed,2023-03-29,Present
64,EMP001,Ali Ahmed,2023-03-30,Present
65,EMP001,Ali Ahmed,2023-03-31,Present
66,EMP001,Ali Ahmed,2023-04-03,Present
67,EMP001,Ali Ahmed,2023-04-04,Present
68,EMP001,Ali Ahmed,2023-04-05,Present
69,EMP001,Ali Ahmed,2023-04-06,Present
70,EMP001,Ali Ahmed,2023-04-07,Present
71,EMP001,Ali Ahmed,2023-04-10,Present
72,EMP001,Ali Ahmed,2023-04-11,Absent
73,EMP001,Ali Ahmed,2023-04-12,Late
74,EMP001,Ali Ahmed,2023-04-13,Present
75,EMP001,Ali Ahmed,2023-04-14,Present
76,EMP001,Ali Ahmed,2023-04-17,Present
77,EMP001,Ali Ahmed,2023-04-18,Late
78,EMP001,Ali Ahmed,2023-04-19,Present
79,EMP001,Ali Ahmed,2023-04-20,Present
80,EMP001,Ali Ahmed,2023-04-21,Present
81,EMP001,Ali Ahmed,2023-04-24,Present
82,EMP001,Ali Ahmed,2023-04-25,Present
83,EMP001,Ali Ahmed,2023-04-26,Present
84,EMP001,Ali Ahmed,2023-04-27,Late
85,EMP001,Ali Ahmed,2023-04-28,Present
86,EMP001,Ali Ahmed,2023-05-01,Present
87,EMP001,Ali Ahmed,2023-05-02,Leave
88,EMP001,Ali Ahmed,2023-05-03,Present
89,EMP001,Ali Ahmed,2023-05-04,Present
90,EMP001,Ali Ahmed,2023-05-05,Present
91,EMP001,Ali Ahmed,2023-05-08,Present
92,EMP001,Ali Ahmed,2023-05-09,Present
93,EMP001,Ali Ahmed,2023-05-10,Present
94,EMP001,Ali Ahmed,2023-05-11,Present
95,EMP001,Ali Ahmed,2023-05-12,Present
